,filename,label
0,oagvqxyqxz.wav,1
0,tkaorzfyzc.wav,1
0,uqvsgllfeq.wav,1
0,fseivkaego.wav,2
0,ieaxshpxwj.wav,2
0,ztvloagxul.wav,2
0,nekumenpgv.wav,3
0,cgxwaehnir.wav,3
0,kttcqvdgul.wav,3
0,jpjcecupwp.wav,4
0,zviuujuuou.wav,4
0,iiuanaofgh.wav,4
0,ugsvpqnwjq.wav,5
0,aejvqoknnp.wav,5
0,heddrodrmd.wav,5
0,ooyevtcxvf.wav,6
0,afceoescqs.wav,6
0,xwrxxvztrb.wav,6
0,nvdmllxvqy.wav,7
0,xmclwscjcz.wav,7
0,rjrqbatlca.wav,7
0,dumxartuej.wav,8
0,rupzhrxnvo.wav,8
0,mxhplmsaoy.wav,8
0,pxtgqsabnh.wav,9
0,mokhicvkqf.wav,9
0,tsoxcpgasb.wav,9
0,pzcxpzxpxd.wav,2020
0,ukylxybquz.wav,noisy-12
0,mffbtntxqa.wav,test with talk
0,ocavchpcbv.wav,presentation-password
