,filename1,filename2,label1,label2,match
0,sdprvpqeqb.wav,sdprvpqeqb.wav,100,100,True
1,jpjcecupwp.wav,iiuanaofgh.wav,4,4,True
2,oagvqxyqxz.wav,tkaorzfyzc.wav,1,1,True
3,iiuanaofgh.wav,jpjcecupwp.wav,4,4,True
4,uqvsgllfeq.wav,oagvqxyqxz.wav,1,1,True
5,uqvsgllfeq.wav,uqvsgllfeq.wav,1,1,True
6,sdprvpqeqb.wav,sdprvpqeqb.wav,100,100,True
7,bbszbyswbe.wav,rqpzurouer.wav,105,105,True
8,zilinszomf.wav,zygzmichdl.wav,100,100,True
9,kttcqvdgul.wav,cgxwaehnir.wav,3,3,True
10,cdxoiilxjk.wav,ljbtkuqjxd.wav,104,104,True
11,zilinszomf.wav,zilinszomf.wav,100,100,True
12,jgfduietfe.wav,ieczqropvh.wav,202,202,True
13,tkaorzfyzc.wav,uqvsgllfeq.wav,1,1,True
14,kmxalcviwv.wav,ljbtkuqjxd.wav,104,104,True
15,sdprvpqeqb.wav,zygzmichdl.wav,100,100,True
16,iiuanaofgh.wav,zviuujuuou.wav,4,4,True
17,twuugafykc.wav,twuugafykc.wav,106,106,True
18,cdxoiilxjk.wav,ljbtkuqjxd.wav,104,104,True
19,sdprvpqeqb.wav,zygzmichdl.wav,100,100,True
20,ljbtkuqjxd.wav,ljbtkuqjxd.wav,104,104,True
21,hescmblism.wav,hescmblism.wav,202,202,True
22,cgxwaehnir.wav,nekumenpgv.wav,3,3,True
23,jpjcecupwp.wav,zviuujuuou.wav,4,4,True
24,zilinszomf.wav,zygzmichdl.wav,100,100,True
25,jgfduietfe.wav,hescmblism.wav,202,202,True
26,zilinszomf.wav,zygzmichdl.wav,100,100,True
27,cdxoiilxjk.wav,ljbtkuqjxd.wav,104,104,True
28,sdprvpqeqb.wav,zygzmichdl.wav,100,100,True
29,wtlfytkwtl.wav,bbszbyswbe.wav,105,105,True
30,rqpzurouer.wav,cgxwaehnir.wav,105,3,False
31,kttcqvdgul.wav,zviuujuuou.wav,3,4,False
32,lfdtxqbcan.wav,cdxoiilxjk.wav,106,104,False
33,oagvqxyqxz.wav,kttcqvdgul.wav,1,3,False
34,oagvqxyqxz.wav,rqpzurouer.wav,1,105,False
35,bbszbyswbe.wav,zilinszomf.wav,105,100,False
36,zviuujuuou.wav,oagvqxyqxz.wav,4,1,False
37,zviuujuuou.wav,ljbtkuqjxd.wav,4,104,False
38,oagvqxyqxz.wav,cgxwaehnir.wav,1,3,False
39,iiuanaofgh.wav,bbszbyswbe.wav,4,105,False
40,cgxwaehnir.wav,zviuujuuou.wav,3,4,False
41,kmxalcviwv.wav,zygzmichdl.wav,104,100,False
42,twuugafykc.wav,zygzmichdl.wav,106,100,False
43,uqvsgllfeq.wav,zviuujuuou.wav,1,4,False
44,rqpzurouer.wav,tkaorzfyzc.wav,105,1,False
45,jgfduietfe.wav,kttcqvdgul.wav,202,3,False
46,zygzmichdl.wav,bbszbyswbe.wav,100,105,False
47,tkaorzfyzc.wav,cgxwaehnir.wav,1,3,False
48,bbszbyswbe.wav,kttcqvdgul.wav,105,3,False
49,ieczqropvh.wav,oagvqxyqxz.wav,202,1,False
50,wtlfytkwtl.wav,ieczqropvh.wav,105,202,False
51,uqvsgllfeq.wav,hescmblism.wav,1,202,False
52,lfdtxqbcan.wav,wtlfytkwtl.wav,106,105,False
53,sdprvpqeqb.wav,uqvsgllfeq.wav,100,1,False
54,iiuanaofgh.wav,kttcqvdgul.wav,4,3,False
55,cgxwaehnir.wav,wtlfytkwtl.wav,3,105,False
56,jgfduietfe.wav,zygzmichdl.wav,202,100,False
57,bbszbyswbe.wav,iiuanaofgh.wav,105,4,False
58,twuugafykc.wav,ljbtkuqjxd.wav,106,104,False
59,zviuujuuou.wav,kttcqvdgul.wav,4,3,False
60,zygzmichdl.wav,ljbtkuqjxd.wav,100,104,False
61,bbszbyswbe.wav,cdxoiilxjk.wav,105,104,False
62,ieczqropvh.wav,zviuujuuou.wav,202,4,False
63,jpjcecupwp.wav,cgxwaehnir.wav,4,3,False
64,uqvsgllfeq.wav,kttcqvdgul.wav,1,3,False
65,jpjcecupwp.wav,ieczqropvh.wav,4,202,False
66,uqvsgllfeq.wav,ieczqropvh.wav,1,202,False
67,wtlfytkwtl.wav,uhqnogrlpg.wav,105,106,False
68,ljbtkuqjxd.wav,rqpzurouer.wav,104,105,False
69,rqpzurouer.wav,uqvsgllfeq.wav,105,1,False
70,kmxalcviwv.wav,kttcqvdgul.wav,104,3,False
71,jgfduietfe.wav,iiuanaofgh.wav,202,4,False
72,jpjcecupwp.wav,jgfduietfe.wav,4,202,False
73,oagvqxyqxz.wav,hescmblism.wav,1,202,False
74,cgxwaehnir.wav,rqpzurouer.wav,3,105,False
75,cgxwaehnir.wav,jpjcecupwp.wav,3,4,False
76,lfdtxqbcan.wav,kmxalcviwv.wav,106,104,False
77,kmxalcviwv.wav,hescmblism.wav,104,202,False
78,jgfduietfe.wav,cdxoiilxjk.wav,202,104,False
79,wtlfytkwtl.wav,ieczqropvh.wav,105,202,False
80,jgfduietfe.wav,nekumenpgv.wav,202,3,False
81,kttcqvdgul.wav,cdxoiilxjk.wav,3,104,False
82,zygzmichdl.wav,jgfduietfe.wav,100,202,False
83,oagvqxyqxz.wav,sdprvpqeqb.wav,1,100,False
84,oagvqxyqxz.wav,ieczqropvh.wav,1,202,False
85,zygzmichdl.wav,cdxoiilxjk.wav,100,104,False
86,jpjcecupwp.wav,wtlfytkwtl.wav,4,105,False
87,zygzmichdl.wav,nekumenpgv.wav,100,3,False
88,ljbtkuqjxd.wav,tkaorzfyzc.wav,104,1,False
89,zygzmichdl.wav,ieczqropvh.wav,100,202,False
90,iiuanaofgh.wav,ljbtkuqjxd.wav,4,104,False
91,oagvqxyqxz.wav,kmxalcviwv.wav,1,104,False
92,nekumenpgv.wav,jgfduietfe.wav,3,202,False
93,cdxoiilxjk.wav,uhqnogrlpg.wav,104,106,False
94,sdprvpqeqb.wav,uqvsgllfeq.wav,100,1,False
95,uqvsgllfeq.wav,bbszbyswbe.wav,1,105,False
96,zviuujuuou.wav,uqvsgllfeq.wav,4,1,False
97,tkaorzfyzc.wav,lfdtxqbcan.wav,1,106,False
98,kttcqvdgul.wav,zygzmichdl.wav,3,100,False
99,kttcqvdgul.wav,hescmblism.wav,3,202,False
