,filename,label
0,oagvqxyqxz.wav,1
0,tkaorzfyzc.wav,1
0,uqvsgllfeq.wav,1
0,fseivkaego.wav,2
0,ieaxshpxwj.wav,2
0,ztvloagxul.wav,2
0,nekumenpgv.wav,3
0,cgxwaehnir.wav,3
0,kttcqvdgul.wav,3
0,jpjcecupwp.wav,4
0,zviuujuuou.wav,4
0,iiuanaofgh.wav,4
0,ugsvpqnwjq.wav,5
0,aejvqoknnp.wav,5
0,heddrodrmd.wav,5
0,ooyevtcxvf.wav,6
0,afceoescqs.wav,6
0,xwrxxvztrb.wav,6
0,nvdmllxvqy.wav,7
0,xmclwscjcz.wav,7
0,rjrqbatlca.wav,7
0,dumxartuej.wav,8
0,rupzhrxnvo.wav,8
0,mxhplmsaoy.wav,8
0,pxtgqsabnh.wav,9
0,mokhicvkqf.wav,9
0,tsoxcpgasb.wav,9
0,pzcxpzxpxd.wav,2020
0,ukylxybquz.wav,noisy-12
0,mffbtntxqa.wav,test with talk
0,ocavchpcbv.wav,presentation-password
0,sdprvpqeqb.wav,100
0,zygzmichdl.wav,100
0,zilinszomf.wav,100
0,kovqiznllc.wav,101
0,apjmezxghn.wav,101
0,ndhsmlansj.wav,101
0,hpksmzrrau.wav,102
0,ycdinlhbms.wav,102
0,ocbmanpcif.wav,102
0,qnzjyterey.wav,103
0,dsypcprhpa.wav,103
0,vynfgxttcp.wav,103
0,ljbtkuqjxd.wav,104
0,kmxalcviwv.wav,104
0,cdxoiilxjk.wav,104
0,rqpzurouer.wav,105
0,wtlfytkwtl.wav,105
0,bbszbyswbe.wav,105
0,lfdtxqbcan.wav,106
0,twuugafykc.wav,106
0,uhqnogrlpg.wav,106
0,qdcdgqjjdr.wav,107
0,auekkfhgvs.wav,107
0,haflvkblwb.wav,107
0,funrhoonve.wav,108
0,qqucfkznez.wav,108
0,oeknbbbrrz.wav,108
0,nteucpudss.wav,109
0,mvkyhqdwub.wav,109
0,wlbegoogpi.wav,109
0,dyzfpmrfaf.wav,110
0,ozrzqfepzk.wav,110
0,puebabxdeo.wav,110
0,radtqbspve.wav,200
0,zxogapkubr.wav,200
0,rtvbbzbfyx.wav,200
0,csbfhksvpj.wav,201
0,mjdenbdxcj.wav,201
0,jkhivvzers.wav,201
0,hescmblism.wav,202
0,ieczqropvh.wav,202
0,jgfduietfe.wav,202
0,qvevekybnq.wav,203
0,cskyaempjh.wav,203
0,cbowckbxbf.wav,203
0,oqdpexpbcn.wav,204
0,oenzzjfabf.wav,204
0,bjmudjflmc.wav,204
0,kebfrgppqu.wav,205
0,rlipljgxjj.wav,205
0,ctpfqrfjkm.wav,205
0,qgaehindtv.wav,206
0,evmzxnqwds.wav,206
0,fsohitjzej.wav,206
0,rfjllsqsdk.wav,207
0,bwvapouaiz.wav,207
0,lnqsjqmyks.wav,207
0,lsfmvnghqw.wav,208
0,zjhfdatcqf.wav,208
0,dgxbxyxyfd.wav,208
0,ayelsyhuxs.wav,209
0,ijxuxxcvuh.wav,209
0,puyzvpeosf.wav,209
0,eoezebbvxg.wav,210
0,cpmlugjfbg.wav,210
0,fztigkaxcq.wav,210
0,bllzfdkcih.wav,211
0,kzrfldkdiu.wav,211
0,ixkhocbexb.wav,211
0,mnkrdgpbgd.wav,212
0,ijpnxmctdv.wav,212
0,rgxpztuhny.wav,212
0,elesgfaxki.wav,213
0,shjokxnzux.wav,213
0,bidasxlymp.wav,213
0,rzqhqynivp.wav,214
0,ijobvlgxab.wav,214
0,ltmfyyflem.wav,214
0,xjcwvtcyce.wav,215
0,zhuoofjubf.wav,215
0,xgrodzwmgz.wav,215
0,porggqhlib.wav,216
0,jlzswxwpsr.wav,216
0,xnzsiyorwy.wav,216
0,ehxeagksdh.wav,217
0,aibjsgeegu.wav,217
0,txeprqxfum.wav,217
