,filename1,filename2,label1,label2,match,features1,features2,x
0,rfjllsqsdk.wav,lnqsjqmyks.wav,207,207,True,[ 9 61  9 24  8 24  9  0  0  0  0  0  0  0  0],[ 8 61  9 24  9 23  9  0  0  0  0  0  0  0  0],"[ 9. 61.  9. 24.  8. 24.  9.  0.  0.  0.  0.  0.  0.  0.  0.  8. 61.  9.
 24.  9. 23.  9.  0.  0.  0.  0.  0.  0.  0.  0.]"
1,ycdinlhbms.wav,ycdinlhbms.wav,102,102,True,[44 39 21 20  0  0  0  0  0  0  0  0  0  0  0],[44 39 21 20  0  0  0  0  0  0  0  0  0  0  0],"[44. 39. 21. 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 44. 39. 21.
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
2,rfjllsqsdk.wav,ctpfqrfjkm.wav,207,205,False,[ 9 61  9 24  8 24  9  0  0  0  0  0  0  0  0],[ 5  4 14  4  6  0  0  0  0  0  0  0  0  0  0],"[ 9. 61.  9. 24.  8. 24.  9.  0.  0.  0.  0.  0.  0.  0.  0.  5.  4. 14.
  4.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
3,fsohitjzej.wav,zjhfdatcqf.wav,206,208,False,[19 20 20 44  0  0  0  0  0  0  0  0  0  0  0],[15  8 22 16  7  8  7 22  0  0  0  0  0  0  0],"[19. 20. 20. 44.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 15.  8. 22.
 16.  7.  8.  7. 22.  0.  0.  0.  0.  0.  0.  0.]"
4,ixkhocbexb.wav,jlzswxwpsr.wav,211,216,False,[ 8  8 51 25  8  0  0  0  0  0  0  0  0  0  0],[79 84  0  0  0  0  0  0  0  0  0  0  0  0  0],"[ 8.  8. 51. 25.  8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 79. 84.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
5,zhuoofjubf.wav,radtqbspve.wav,215,200,False,[ 7 46  7 44  9 45  0  0  0  0  0  0  0  0  0],[ 9 10 10 17 11  0  0  0  0  0  0  0  0  0  0],"[ 7. 46.  7. 44.  9. 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  9. 10. 10.
 17. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
6,xnzsiyorwy.wav,porggqhlib.wav,216,216,True,[74 80  0  0  0  0  0  0  0  0  0  0  0  0  0],[75 80  0  0  0  0  0  0  0  0  0  0  0  0  0],"[74. 80.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 75. 80.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
7,dsypcprhpa.wav,vynfgxttcp.wav,103,103,True,[ 8 11  0  0  0  0  0  0  0  0  0  0  0  0  0],[11 11  0  0  0  0  0  0  0  0  0  0  0  0  0],"[ 8. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 11. 11.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
8,porggqhlib.wav,qqucfkznez.wav,216,108,False,[75 80  0  0  0  0  0  0  0  0  0  0  0  0  0],[74 15 87  0  0  0  0  0  0  0  0  0  0  0  0],"[75. 80.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 74. 15. 87.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
9,txeprqxfum.wav,aibjsgeegu.wav,217,217,True,[ 4  5 14  4  5 15  5  4  0  0  0  0  0  0  0],[  5   3  14   9  14   4   5 162  59   0   0   0   0   0   0],"[  4.   5.  14.   4.   5.  15.   5.   4.   0.   0.   0.   0.   0.   0.
   0.   5.   3.  14.   9.  14.   4.   5. 162.  59.   0.   0.   0.   0.
   0.   0.]"
10,shjokxnzux.wav,bidasxlymp.wav,213,213,True,[13 13 12 13 13 12 31 13 13 25 13 13  0  0  0],[12 12 13 13 12 13 28 13 12 27 13 13  0  0  0],"[13. 13. 12. 13. 13. 12. 31. 13. 13. 25. 13. 13.  0.  0.  0. 12. 12. 13.
 13. 12. 13. 28. 13. 12. 27. 13. 13.  0.  0.  0.]"
11,mnkrdgpbgd.wav,mnkrdgpbgd.wav,212,212,True,[36  8  6 25 25 37  7  6 13 12  0  0  0  0  0],[36  8  6 25 25 37  7  6 13 12  0  0  0  0  0],"[36.  8.  6. 25. 25. 37.  7.  6. 13. 12.  0.  0.  0.  0.  0. 36.  8.  6.
 25. 25. 37.  7.  6. 13. 12.  0.  0.  0.  0.  0.]"
